"File","Line","Before","After","Pattern"
"src\pages\TermsOfService.tsx","108","<h2 className=""text-xl sm:text-2xl font-semibold text-gray-900 mb-3"">Content Disclaimer</h2>","<h2 className=""text-xl sm:text-2xl font-semibold text-foreground mb-3"">Content Disclaimer</h2>","text-gray-900 -> text-foreground"
"src\pages\TermsOfService.tsx","109","<p className=""text-gray-700 mb-3"">","<p className=""text-foreground mb-3"">","text-gray-700 -> text-foreground"
"src\pages\TermsOfService.tsx","113","<ul className=""list-disc pl-6 text-gray-700 space-y-1"">","<ul className=""list-disc pl-6 text-foreground space-y-1"">","text-gray-700 -> text-foreground"
"src\pages\TermsOfService.tsx","122","<h2 className=""text-xl sm:text-2xl font-semibold text-gray-900 mb-3"">Usage Limits</h2>","<h2 className=""text-xl sm:text-2xl font-semibold text-foreground mb-3"">Usage Limits</h2>","text-gray-900 -> text-foreground"
"src\pages\TermsOfService.tsx","123","<p className=""text-gray-700"">","<p className=""text-foreground"">","text-gray-700 -> text-foreground"
"src\pages\TermsOfService.tsx","126","<ul className=""list-disc pl-6 text-gray-700 space-y-1"">","<ul className=""list-disc pl-6 text-foreground space-y-1"">","text-gray-700 -> text-foreground"
"src\pages\TermsOfService.tsx","130","<p className=""text-gray-700 mt-2"">","<p className=""text-foreground mt-2"">","text-gray-700 -> text-foreground"
"src\pages\TermsOfService.tsx","136","<h2 className=""text-xl sm:text-2xl font-semibold text-gray-900 mb-3"">Limitation of Liability</h2>","<h2 className=""text-xl sm:text-2xl font-semibold text-foreground mb-3"">Limitation of Liability</h2>","text-gray-900 -> text-foreground"
"src\pages\TermsOfService.tsx","137","<p className=""text-gray-700"">","<p className=""text-foreground"">","text-gray-700 -> text-foreground"
"src\pages\TermsOfService.tsx","146","<h2 className=""text-xl sm:text-2xl font-semibold text-gray-900 mb-3"">Disclaimer of Warranties</h2>","<h2 className=""text-xl sm:text-2xl font-semibold text-foreground mb-3"">Disclaimer of Warranties</h2>","text-gray-900 -> text-foreground"
"src\pages\TermsOfService.tsx","147","<p className=""text-gray-700"">","<p className=""text-foreground"">","text-gray-700 -> text-foreground"
"src\pages\TermsOfService.tsx","155","<h2 className=""text-xl sm:text-2xl font-semibold text-gray-900 mb-3"">Indemnification</h2>","<h2 className=""text-xl sm:text-2xl font-semibold text-foreground mb-3"">Indemnification</h2>","text-gray-900 -> text-foreground"
"src\pages\TermsOfService.tsx","156","<p className=""text-gray-700"">","<p className=""text-foreground"">","text-gray-700 -> text-foreground"
"src\pages\TermsOfService.tsx","164","<h2 className=""text-xl sm:text-2xl font-semibold text-gray-900 mb-3"">Modifications to Service</h2>","<h2 className=""text-xl sm:text-2xl font-semibold text-foreground mb-3"">Modifications to Service</h2>","text-gray-900 -> text-foreground"
"src\pages\TermsOfService.tsx","165","<p className=""text-gray-700"">","<p className=""text-foreground"">","text-gray-700 -> text-foreground"
"src\pages\TermsOfService.tsx","173","<h2 className=""text-xl sm:text-2xl font-semibold text-gray-900 mb-3"">Changes to Terms</h2>","<h2 className=""text-xl sm:text-2xl font-semibold text-foreground mb-3"">Changes to Terms</h2>","text-gray-900 -> text-foreground"
"src\pages\TermsOfService.tsx","174","<p className=""text-gray-700"">","<p className=""text-foreground"">","text-gray-700 -> text-foreground"
"src\pages\TermsOfService.tsx","182","<h2 className=""text-xl sm:text-2xl font-semibold text-gray-900 mb-3"">Governing Law</h2>","<h2 className=""text-xl sm:text-2xl font-semibold text-foreground mb-3"">Governing Law</h2>","text-gray-900 -> text-foreground"
"src\pages\TermsOfService.tsx","183","<p className=""text-gray-700"">","<p className=""text-foreground"">","text-gray-700 -> text-foreground"
"src\pages\TermsOfService.tsx","190","<h2 className=""text-xl sm:text-2xl font-semibold text-gray-900 mb-3"">Contact Information</h2>","<h2 className=""text-xl sm:text-2xl font-semibold text-foreground mb-3"">Contact Information</h2>","text-gray-900 -> text-foreground"
"src\pages\TermsOfService.tsx","191","<p className=""text-gray-700"">","<p className=""text-foreground"">","text-gray-700 -> text-foreground"
"src\pages\TermsOfService.tsx","194","<p className=""text-gray-700 mt-2"">","<p className=""text-foreground mt-2"">","text-gray-700 -> text-foreground"
"src\index.css","213","@apply backdrop-blur-sm bg-white/80 border border-white/20;","@apply backdrop-blur-sm bg-card/80 border border-white/20;","bg-white/80 -> bg-card/80"
